,DataSetName,Encoder,Score,Roc_auc_score
0,Nursery,HashingEncoder,0.21183072246902035,0.408440815274916
1,Nursery,HelmertEncoder,0.03530512041150339,0.27573950035811534
2,Nursery,BaseNEncoder,0.03530512041150339,0.2757246692867417
3,Nursery,BinaryEncoder,0.03530512041150339,0.2757246692867417
4,Nursery,LabelEncoder,0.03530512041150339,0.2757621502333916
5,Nursery,FrequencyEncoder,0.3161094224924012,0.4893441154210308
6,Nursery,OneHotEncoder,0.03530512041150339,0.2757151128781481
7,Nursery,JamesSteinEncoder,0.3161094224924012,0.4893441154210308
8,Nursery,SumEncoder,0.03530512041150339,0.2757196428532034
9,Nursery,TargetEncoder,0.3161094224924012,0.4893441154210308
10,Bridges,HashingEncoder,0.7428571428571429,0.7166666666666666
11,Bridges,HelmertEncoder,0.8,0.8
12,Bridges,BaseNEncoder,0.7142857142857143,0.6833333333333333
13,Bridges,BinaryEncoder,0.7142857142857143,0.6833333333333333
14,Bridges,LabelEncoder,0.8,0.7833333333333333
15,Bridges,FrequencyEncoder,0.6571428571428571,0.625
16,Bridges,OneHotEncoder,0.8,0.8
17,Bridges,JamesSteinEncoder,0.7142857142857143,0.7000000000000002
18,Bridges,SumEncoder,0.7714285714285715,0.775
19,Bridges,TargetEncoder,0.7142857142857143,0.7000000000000002
20,Adult,HashingEncoder,0.790605735727687,0.7247019331086233
21,Adult,HelmertEncoder,0.8079603323505763,0.7492319479555396
22,Adult,BaseNEncoder,0.8060841597426963,0.7415307371293287
23,Adult,BinaryEncoder,0.8060841597426963,0.7415307371293287
24,Adult,LabelEncoder,0.7989145001340123,0.7350402271176919
25,Adult,FrequencyEncoder,0.8074912891986062,0.7441928995626177
26,Adult,OneHotEncoder,0.8046770302867864,0.7425959782914009
27,Adult,JamesSteinEncoder,0.8098365049584562,0.7484783164800771
28,Adult,SumEncoder,0.8074242830340391,0.7466030155290719
29,Adult,TargetEncoder,0.8098365049584562,0.7484783164800771
30,Titanic,HashingEncoder,0.6406779661016949,0.6290476190476191
31,Titanic,HelmertEncoder,0.823728813559322,0.8003571428571429
32,Titanic,BaseNEncoder,0.7491525423728813,0.7414285714285714
33,Titanic,BinaryEncoder,0.7491525423728813,0.7414285714285714
34,Titanic,LabelEncoder,0.7423728813559322,0.7330952380952382
35,Titanic,FrequencyEncoder,0.752542372881356,0.7429761904761905
36,Titanic,OneHotEncoder,0.8,0.7803571428571429
37,Titanic,JamesSteinEncoder,0.9830508474576272,0.9830952380952381
38,Titanic,SumEncoder,0.7932203389830509,0.7746428571428573
39,Titanic,TargetEncoder,0.8305084745762712,0.8296428571428571
40,Car1,HashingEncoder,0.6719298245614035,0.5559287941699049
41,Car1,HelmertEncoder,0.9912280701754386,0.9787128994626533
42,Car1,BaseNEncoder,0.987719298245614,0.9812403627310466
43,Car1,BinaryEncoder,0.987719298245614,0.9812403627310466
44,Car1,LabelEncoder,0.9859649122807017,0.9750745859703043
45,Car1,FrequencyEncoder,0.8824561403508772,0.7042847664733273
46,Car1,OneHotEncoder,0.9859649122807017,0.9694506116131942
47,Car1,JamesSteinEncoder,0.9912280701754386,0.9787128994626533
48,Car1,SumEncoder,0.9912280701754386,0.9730889251055432
49,Car1,TargetEncoder,0.9912280701754386,0.9787128994626533
50,Heart,HashingEncoder,0.73,0.7376847290640395
51,Heart,HelmertEncoder,0.73,0.7376847290640395
52,Heart,BaseNEncoder,0.73,0.7376847290640395
53,Heart,BinaryEncoder,0.73,0.7376847290640395
54,Heart,LabelEncoder,0.73,0.7376847290640395
55,Heart,FrequencyEncoder,0.73,0.7376847290640395
56,Heart,OneHotEncoder,0.73,0.7376847290640395
57,Heart,JamesSteinEncoder,0.73,0.7376847290640395
58,Heart,SumEncoder,0.73,0.7376847290640395
59,Heart,TargetEncoder,0.73,0.7376847290640395
60,Car,HashingEncoder,0.835820895522388,0.8308035714285714
61,Car,HelmertEncoder,0.8955223880597015,0.8919642857142857
62,Car,BaseNEncoder,0.8805970149253731,0.8776785714285714
63,Car,BinaryEncoder,0.8805970149253731,0.8776785714285714
64,Car,LabelEncoder,0.835820895522388,0.8308035714285714
65,Car,FrequencyEncoder,0.835820895522388,0.8308035714285714
66,Car,OneHotEncoder,0.8805970149253731,0.8763392857142858
67,Car,JamesSteinEncoder,0.9104477611940298,0.9075892857142858
68,Car,SumEncoder,0.8656716417910447,0.8620535714285714
69,Car,TargetEncoder,0.9104477611940298,0.9075892857142858
