,DataSetName,Encoder,Score
0,car1,HelmertEncoder,0.03684210526315789
1,car1,HashingEncoder,0.22105263157894736
2,car1,TargetEncoder,0.13157894736842105
3,car1,SumEncoder,0.03684210526315789
4,car1,JamesSteinEncoder,0.0912280701754386
5,car1,OneHotEncoder,0.03684210526315789
6,car1,BaseNEncoder,0.03684210526315789
7,car1,BinaryEncoder,0.03684210526315789
8,car1,FrequencyEncoder,0.12456140350877193
9,car1,LabelEncoder,0.03684210526315789
10,bridges,HelmertEncoder,0.6857142857142857
11,bridges,HashingEncoder,0.7428571428571429
12,bridges,TargetEncoder,0.7142857142857143
13,bridges,SumEncoder,0.7142857142857143
14,bridges,JamesSteinEncoder,0.7142857142857143
15,bridges,OneHotEncoder,0.8
16,bridges,BaseNEncoder,0.7428571428571429
17,bridges,BinaryEncoder,0.7428571428571429
18,bridges,FrequencyEncoder,0.6857142857142857
19,bridges,LabelEncoder,0.8
20,titanic,HelmertEncoder,0.8135593220338984
21,titanic,HashingEncoder,0.6406779661016949
22,titanic,TargetEncoder,0.8508474576271187
23,titanic,SumEncoder,0.7966101694915254
24,titanic,JamesSteinEncoder,0.9830508474576272
25,titanic,OneHotEncoder,0.7898305084745763
26,titanic,BaseNEncoder,0.7457627118644068
27,titanic,BinaryEncoder,0.7457627118644068
28,titanic,FrequencyEncoder,0.7457627118644068
29,titanic,LabelEncoder,0.7627118644067796
30,audiology,HelmertEncoder,0.3333333333333333
31,audiology,HashingEncoder,0.12698412698412698
32,audiology,TargetEncoder,0.31746031746031744
33,audiology,SumEncoder,0.30158730158730157
34,audiology,JamesSteinEncoder,0.31746031746031744
35,audiology,OneHotEncoder,0.31746031746031744
36,audiology,BaseNEncoder,0.23809523809523808
37,audiology,BinaryEncoder,0.23809523809523808
38,audiology,FrequencyEncoder,0.31746031746031744
39,audiology,LabelEncoder,0.25396825396825395
40,adult,HelmertEncoder,0.8082283570088448
41,adult,HashingEncoder,0.7902036987402841
42,adult,TargetEncoder,0.8095684803001876
43,adult,SumEncoder,0.8062181720718307
44,adult,JamesSteinEncoder,0.8096354864647548
45,adult,OneHotEncoder,0.8059501474135621
46,adult,BaseNEncoder,0.805883141248995
47,adult,BinaryEncoder,0.805883141248995
48,adult,FrequencyEncoder,0.8080943446797105
49,adult,LabelEncoder,0.8008576789064594
50,random,HelmertEncoder,0.4
51,random,HashingEncoder,0.2
52,random,TargetEncoder,0.4
53,random,SumEncoder,0.4
54,random,JamesSteinEncoder,0.4
55,random,OneHotEncoder,0.4
56,random,BaseNEncoder,0.4
57,random,BinaryEncoder,0.4
58,random,FrequencyEncoder,0.4
59,random,LabelEncoder,0.4
60,heart,HelmertEncoder,0.73
61,heart,HashingEncoder,0.73
62,heart,TargetEncoder,0.73
63,heart,SumEncoder,0.73
64,heart,JamesSteinEncoder,0.73
65,heart,OneHotEncoder,0.73
66,heart,BaseNEncoder,0.73
67,heart,BinaryEncoder,0.73
68,heart,FrequencyEncoder,0.74
69,heart,LabelEncoder,0.73
70,car,HelmertEncoder,0.04477611940298507
71,car,HashingEncoder,0.014925373134328358
72,car,TargetEncoder,0.04477611940298507
73,car,SumEncoder,0.029850746268656716
74,car,JamesSteinEncoder,0.04477611940298507
75,car,OneHotEncoder,0.029850746268656716
76,car,BaseNEncoder,0.029850746268656716
77,car,BinaryEncoder,0.029850746268656716
78,car,FrequencyEncoder,0.029850746268656716
79,car,LabelEncoder,0.029850746268656716
